projOrgFDate,wfoid,project_status,approvedOn,hardcopysubmissionDate,projectCost,projectType,districtName,project_address,total_est_cost_of_proj,payment_status,regNo,startDate,endDate,districtType,projectName,promoterAddress,regFee,project_cost,extDate,project_ack_no,promoterName,disposed_date
2024-03-31 05:30:00,11685,New,15-November-2021,2021-06-26 20:11:03,970151481,Residential/Group Housing,Ahmedabad,"SKYCITY, NEAR CLUB 07,S.P.RING ROAD BLOCK NOS.215,251,305,306,F.P NO. 21,TP SCHME NO . 1(SHELA)",970151481,Paid,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA09322/151121,19-October-2020,31-March-2024,Ahmedabad,SKY VILLA,"10TH FLOOR,COMMERCE HOUSE IV,100FT ROAD BESIDE SHELL PETROL PUMP,PRAHLADNAGAR",145567.28,970151481,,PR/AHMEDABAD/SANAND/AUDA/210629/010534,SAFAL GOYAL REALTY LLP,
2025-03-31 05:30:00,11687,Ongoing,09-July-2021,2021-02-24 01:50:27,225379680,Mixed Development,Bharuch,AL FOULEK PROJECT DAHEJ BYPASS ROAD BHARUCH,225379680,Paid,PR/GJ/BHARUCH/BHARUCH/Others/MAA08739/090721,01-October-2012,31-March-2025,Others,AL FOULEK,NA,520492.87,225379680,,PR/BHARUCH/BHARUCH/BHARUCH TPO/210308/010539,AL FOULEK RESIDENCY PRIVATE LIMITED,
2026-02-03 05:30:00,11691,New,01-June-2021,2021-04-16 00:53:58,512897666,Mixed Development,Ahmedabad,"T.P. 44, F.P. 120, MOUJE: CHANDKHEDA OPP. PARAM-22, ",512897666,Paid,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08533/010621,04-February-2021,03-February-2026,Ahmedabad,KALA SAGAR SKIES,NA,256885.35,512897666,,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/210419/010581,V3 CONSTRUCTION COMPANY,
2025-12-31 05:30:00,11693,New,06-April-2021,2021-03-08 15:33:19,202656482,Mixed Development,Vadodara,"Param Bliss, Next to Pushti, 30m Bill Canal road Nr. Param Flats, Atladra-Padra Road, Bill",202656482,Paid,PR/GJ/VADODARA/VADODARA/Others/MAA08305/060421,28-January-2021,31-December-2025,Vadodara,PARAM BLISS,NA,126382.05,202656482,,PR/VADODARA/VADODARA/VADODARA TPO/210315/010573,ANANT CORPORATION,
2025-03-31 05:30:00,11694,New,09-April-2021,2021-02-26 01:39:31,135013230,Mixed Development,Vadodara,"NR PHONIX RESICOM,VAINKUTH CROSSING OPP AMBE SCHOOL , WAGHODIA ROAD",135013230,Paid,PR/GJ/VADODARA/VADODARA/Others/MAA08332/090421,08-January-2021,31-March-2025,Vadodara,THE RB CAPITAL,NA,75109.2,135013230,,PR/VADODARA/VADODARA/GANDHINAGAR TPO/210302/010542,AMEY INFRASTRUCTURE,
2023-11-30 05:30:00,11695,New,22-April-2021,2021-02-25 18:19:10,35069430,Commercial,Junagadh,"APPLEWOOD TOWENSHIP OPP. ANJANI PETROL PUMP, VANTHALI ROAD",35069430,Paid,PR/GJ/JUNAGADH/JUNAGADH/Others/CAA08365/220421,22-December-2020,30-November-2023,Others,CRYSTAL - B,"SHOP NO. 03, CRYSTAL APPLE WOOD TOWNSHIP, TIMBAVADI",23747,35069430,,PR/JUNAGADH/JUNAGADH/JUNAGADH TPO/210302/010543,DIVYA INFRA,
2025-12-31 05:30:00,11702,Ongoing,26-May-2021,2021-03-01 22:12:18,27437832,Mixed Development,Vadodara,"Beside nigam-karam,opp. nisar bunglows , ,near navayard gorwa bridge, madhunagar",27437832,Paid,PR/GJ/VADODARA/VADODARA/Others/MAA08510/260521,01-January-2019,31-December-2025,Vadodara,Al Marhaba Park Phase III,NA,19945.2,27437832,,PR/VADODARA/VADODARA/VADODARA TPO/210315/010551,AL DASTAGEER DEVELOPERS,
2024-12-31 05:30:00,11713,New,25-March-2021,2021-02-26 17:20:02,220426975,Commercial,Patan,"RS NO 118, CS NO 1889/D GUNGADIPATI, PATAN 384265",220426975,Paid,PR/GJ/PATAN/PATAN/Others/CAA08269/250321,23-October-2020,31-December-2024,Others,TREG MALL,NA,115280,220426975,,PR/PATAN/PATAN/GANDHINAGAR TPO/210302/010548,TREG MALL,
2024-12-31 05:30:00,11714,New,01-April-2021,2021-02-26 16:50:25,20487135,Residential/Group Housing,Rajkot,"LAXMI NAGAR MAIN ROAD, NEAR KAILASH DAIRY, RAJKOT",20487135,Paid,PR/GJ/RAJKOT/RAJKOT/Others/RAA08289/010421,23-July-2020,31-December-2024,Rajkot,SUKHSAGAR SQUARE,NA,10000,20487135,,PR/RAJKOT/RAJKOT/RAJKOT TPO/210302/010550,SUKHSAGAR ENTERPRISE,
2025-12-31 05:30:00,11715,New,31-March-2021,2021-03-03 23:21:06,176376060,Residential/Group Housing,Ahmedabad,"Shree Vasundhara Royal, Nr Shree Ram Height, B/h Muthiya Toll Tax, S.P.Ring Road, Naroda - 382330",176376060,Paid,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08287/310321,15-July-2020,31-December-2025,Ahmedabad,Shree Vasundhara Royal,NA,50211.84,176376060,,PR/AHMEDABAD/AHMEDABAD CITY/AUDA/210308/010552,Achal Developers,
